============================ slowest test durations ============================
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.delete_5]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.new_1]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.run_0]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.new_0]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.edit_6]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.new_ds_choice_0]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.run_5]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_33]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.validation_operator.run_0]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[legacy_profiler.build_suite_6]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.init.create_2]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.build_0]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_23]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_3]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_29]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_47]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_24]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.new_0]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.list_5]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.list_3]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.scaffold_2]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_16]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.demo_0]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.new_6]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.build_4]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_8]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.script_5]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.list_2]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.list_0]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.edit_2]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_5]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.delete_2]
0.14s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_26]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.script_2]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.new_2]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.list_2]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.script_1]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.scaffold_1]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.init.create_0]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[legacy_profiler.build_suite_1]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.edit_4]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.delete_4]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.delete_3]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.project.check_config_2]
